Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,-0.0000653405,-0.0000762306,-0.0000731200,-0.0000591193,-0.0000482292,-0.0000031106,-0.0000186696,0.0000575551,0.0000575551,-0.0000046689,-0.0000451186,-0.0000435604,-0.0000217802,-0.0000280014,,,
0.0078125000,0,-0.0006432459,-0.0007196032,-0.0006886755,-0.0005518485,-0.0004848289,-0.0000355848,-0.0001544572,0.0005417635,0.0005386529,-0.0000611846,-0.0004445753,-0.0004174231,-0.0002071592,-0.0002814394,,,
0.0117187500,0,-0.0031695686,-0.0033889700,-0.0032458027,-0.0025747805,-0.0024419615,-0.0001918095,-0.0006040369,0.0025504682,0.0025148775,-0.0003690574,-0.0021936363,-0.0020157293,-0.0009854254,-0.0014248630,,,
0.0156250000,1,-0.0105452779,-0.0107640754,-0.0103653848,-0.0081254330,-0.0082944928,-0.0006623233,-0.0014662034,0.0081388638,0.0079438937,-0.0013900134,-0.0073071855,-0.0066312002,-0.0031702567,-0.0049010305,,,
0.0195312500,1,-0.0268674739,-0.0262031056,-0.0255260763,-0.0197281906,-0.0214883077,-0.0016743715,-0.0023585326,0.0200744714,0.0193825810,-0.0036946066,-0.0186143412,-0.0168560763,-0.0078342511,-0.0129762159,,,
0.0234375000,1,-0.0561594135,-0.0524438818,-0.0520583822,-0.0395716240,-0.0453583916,-0.0033437466,-0.0021831223,0.0412112027,0.0394032066,-0.0073050660,-0.0387775470,-0.0354026428,-0.0159182319,-0.0282829035,,,
0.0273437500,1,-0.1004408794,-0.0900640402,-0.0918192443,-0.0685101022,-0.0811466235,-0.0055305143,0.0006193595,0.0737599990,0.0700376799,-0.0106812030,-0.0687341561,-0.0638920189,-0.0276388836,-0.0528209199,,,
0.0312500000,2,-0.1579080254,-0.1363652979,-0.1439563325,-0.1053142489,-0.1260578617,-0.0077885938,0.0073409888,0.1186326407,0.1123867645,-0.0099636916,-0.1061618959,-0.1014701092,-0.0418514502,-0.0866594574,,,
0.0351562500,2,-0.2219912796,-0.1851453531,-0.2040944323,-0.1463532920,-0.1723408940,-0.0094101444,0.0182036765,0.1748775040,0.1662849956,0.0008038229,-0.1446751960,-0.1438003365,-0.0555892498,-0.1267904699,,,
0.0390625000,2,-0.2816663126,-0.2274026700,-0.2641207210,-0.1856350567,-0.2079325248,-0.0095368644,0.0319686593,0.2391719990,0.2298165343,0.0281661349,-0.1741905593,-0.1829086295,-0.0640043238,-0.1665938994,,,
0.0429687500,2,-0.3229101240,-0.2526636217,-0.3126429478,-0.2150805615,-0.2185695443,-0.0074090319,0.0461621864,0.3053682227,0.2985636562,0.0768142205,-0.1824594978,-0.2080882450,-0.0608873588,-0.1962188512,,,
0.0468750000,3,-0.3308589029,-0.2504948672,-0.3361085045,-0.2250618676,-0.1908368543,-0.0028397972,0.0577180944,0.3641805550,0.3647354817,0.1470532711,-0.1573876810,-0.2077098763,-0.0397992947,-0.2039188294,,,
0.0507812500,3,-0.2920766114,-0.2118189170,-0.3203901852,-0.2052909610,-0.1153926495,0.0032663763,0.0636567221,0.4032910883,0.4167397052,0.2331619984,-0.0895332053,-0.1714008320,0.0044413394,-0.1780313663,,,
0.0546875000,3,-0.1964262964,-0.1298123793,-0.2524808467,-0.1460111045,0.0104616047,0.0088604700,0.0615617487,0.4083035749,0.4399971413,0.3233885661,0.0258300772,-0.0918694904,0.0744044724,-0.1090350676,,,
0.0585937500,3,-0.0384037963,-0.0004573785,-0.1220555849,-0.0393630718,0.1814953017,0.0115819662,0.0498717432,0.3647865722,0.4193730905,0.4017211196,0.1874170434,0.0340684854,0.1691963705,0.0087715615,,,
0.0625000000,4,0.1817699830,0.1768613244,0.0769721068,0.1190878753,0.3846741590,0.0102969020,0.0281114141,0.2610599135,0.3425616929,0.4508255121,0.3873250234,0.2050664926,0.2840523505,0.1759706617,,,
0.0664062500,4,0.4569419446,0.3983129054,0.3445893616,0.3286379689,0.6003510730,0.0065574884,-0.0029034263,0.0908791882,0.2029521928,0.4551685578,0.6108856055,0.4148251829,0.4100698008,0.3868053280,,,
0.0703125000,4,0.7718112458,0.6541952007,0.6725239543,0.5817576986,0.8040959183,0.0051394396,-0.0409902051,-0.1447540637,0.0007448984,0.4035826491,0.8369947918,0.6513329810,0.5340358478,0.6280020720,,,
0.0742187500,4,1.1023382249,0.9277199516,1.0423119119,0.8628758379,0.9689564746,0.0132286027,-0.0827924249,-0.4369302863,-0.2577973544,0.2909666144,1.0392100058,0.8960678641,0.6387329353,0.8781354376,,,
0.0781250000,5,1.4164038738,1.1946397528,1.4242900205,1.1479314019,1.0680373633,0.0382749239,-0.1243145883,-0.7692129322,-0.5620405750,0.1189355474,1.1877246819,1.1238156847,0.7041142910,1.1081848274,,,
0.0820312500,5,1.6758054585,1.4239057088,1.7779602035,1.4046516636,1.0771412598,0.0848555146,-0.1617619886,-1.1189044080,-0.8984526721,-0.1048380011,1.2518591937,1.3035791074,0.7092737788,1.2835094713,,,
0.0859375000,5,1.8392058730,1.5791822460,2.0539091296,1.5935276808,0.9771623289,0.1512871447,-0.1924984577,-1.4590156359,-1.2511691385,-0.3685531455,1.2025741619,1.4006612292,0.6347186261,1.3669517596,,,
0.0898437500,5,1.8657043331,1.6211702420,2.1974365714,1.6699379414,0.7561489474,0.2272019237,-0.2157600874,-1.7605549265,-1.6016433778,-0.6587297200,1.0149496558,1.3797918166,0.4645217859,1.3226689238,,,
0.0937500000,6,1.7190515161,1.5110750345,2.1540475722,1.5882329094,0.4112078483,0.2934348864,-0.2326813465,-1.9945958638,-1.9278798935,-0.9619510608,0.6710728037,1.2091442620,0.1883518526,1.1205306470,,,
0.0976562500,6,1.3726523699,1.2156583057,1.8766873008,1.3082164860,-0.0496155346,0.3249908376,-0.2453791621,-2.1337404974,-2.2039194279,-1.2649942163,0.1637402397,0.8650763546,-0.1963032994,0.7410671644,,,
0.1015625000,6,0.8151257978,0.7138476434,1.3340523699,0.8034117213,-0.6056575860,0.2967103508,-0.2553030685,-2.1529772288,-2.4000534219,-1.5533714568,-0.4992126178,0.3372906398,-0.6814703136,0.1807253127,,,
0.1054687500,6,0.0555562664,0.0040154412,0.5187773807,0.0694401084,-1.2226698504,0.1901410858,-0.2614908991,-2.0302731032,-2.4838491919,-1.8091777255,-1.2908357217,-0.3661552076,-1.2457654263,-0.5433230679,,,
0.1093750000,7,-0.8728688504,-0.8897521968,-0.5460051951,-0.8695815630,-1.8532420319,-0.0003824916,-0.2594417450,-1.7473842006,-2.4218167728,-2.0094502158,-2.1624863688,-1.2148725374,-1.8520021617,-1.3900569516,,,
0.1132812500,7,-1.9120708908,-1.9143060210,-1.8031882065,-1.9582916585,-2.4391703941,-0.2641107964,-0.2410357209,-1.2912924578,-2.1816436299,-2.1259308571,-3.0439020365,-2.1542789601,-2.4465637991,-2.2944821476,,,
0.1171875000,7,-2.9817640792,-2.9883623934,-3.1623140337,-3.1116233353,-2.9158586682,-0.5734278860,-0.1955635006,-0.6564140608,-1.7351554884,-2.1264638720,-3.8466147934,-3.1068094588,-2.9616685714,-3.1713075528,,,
0.1210937500,7,-3.9853996654,-4.0080077214,-4.5046496468,-4.2203011995,-3.2182372880,-0.8864084647,-0.1116945698,0.1525759587,-1.0622180489,-1.9777552095,-4.4707931711,-3.9767180483,-3.3209774920,-3.9223286409,,,
