Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,-0.0010556530,0.0055374068,0.0026376256,-0.0044827585,0.0018451326,0.0044827583,0.0013188128,0.0063298999,0.0052752513,-0.0079118728,0.0034291142,0.0002631598,0.0039564385,0.0071203840,,,
0.0078125000,0,-0.0025842313,0.0450494888,0.0264934585,-0.0324500593,0.0170334229,0.0398346074,0.0141687933,0.0539801913,0.0440183871,-0.0559999381,0.0296156142,0.0044651824,0.0338050277,0.0589425131,,,
0.0117187500,0,0.0171825199,0.1721336122,0.1250833128,-0.1044413846,0.0755347268,0.1691748685,0.0714511267,0.2227550898,0.1789186948,-0.1774039345,0.1243167202,0.0296971044,0.1407382962,0.2334751648,,,
0.0156250000,1,0.1203929770,0.4081849318,0.3723576472,-0.1830554833,0.2147900719,0.4567255627,0.2261590116,0.5972661337,0.4791667409,-0.3141756979,0.3427792808,0.1175759059,0.3845252390,0.5923667844,,,
0.0195312500,1,0.3748213745,0.6569430338,0.7867611285,-0.1251461368,0.4374648715,0.8701219893,0.5050927527,1.1705488161,0.9578247189,-0.2589815709,0.7060983944,0.3282013875,0.7786194437,1.0790818911,,,
0.0234375000,1,0.7648592947,0.7058706772,1.2460919664,0.2569350817,0.6642165700,1.1999772509,0.8409519041,1.7623529465,1.5107892235,0.2412485939,1.1632598895,0.7040722362,1.2362641886,1.4750438281,,,
0.0273437500,1,1.1342046957,0.3776809706,1.4926035409,1.0214281245,0.7326049690,1.1047136913,1.0540741811,2.0260853342,1.8871313572,1.2502557453,1.5790052960,1.2103573265,1.5554985814,1.4798439363,,,
0.0312500000,2,1.2335962029,-0.2616991113,1.2659128897,1.9424279375,0.4748221680,0.3063024039,0.9245375368,1.5719968710,1.7276479748,2.4586810294,1.7444433754,1.6811593573,1.4643901632,0.8757612524,,,
0.0351562500,2,0.8549226561,-0.8383804572,0.4843906507,2.5361809739,-0.1533891033,-1.1662548507,0.3104720771,0.1727984520,0.7100680592,3.2287975460,1.4166627253,1.8202829721,0.7283036289,-0.3309578632,,,
0.0390625000,2,-0.0370993502,-0.8852819357,-0.6703316891,2.2992102266,-0.9860775765,-2.8686613500,-0.7701498725,-2.0526611807,-1.2334170852,2.8838495303,0.4027860375,1.2888200878,-0.7161593123,-1.8889955302,,,
0.0429687500,2,-1.2633210284,-0.2511785677,-1.8583432717,1.0046375497,-1.6960883340,-4.0980557555,-2.1295011824,-4.6074509128,-3.7678452395,1.0725397829,-1.3299210940,-0.1404182672,-2.6750937125,-3.4192710317,,,
0.0468750000,3,-2.5027234672,0.6118272389,-2.8123115430,-1.1488394494,-1.9708381986,-4.2510646528,-3.4426831787,-6.7779327476,-6.2145854736,-2.0022614719,-3.5712548844,-2.4171724192,-4.7157611408,-4.5833999343,,,
0.0507812500,3,-3.4238807371,0.8145580360,-3.4912355253,-3.6106411260,-1.6844203588,-3.1364333142,-4.2902797743,-7.8776575995,-7.7986944201,-5.5817377035,-5.8502894155,-5.0946807343,-6.2713033635,-5.1650272459,,,
0.0546875000,3,-3.7863721209,-0.3304519771,-3.9932835118,-5.6850408949,-0.9352955763,-1.0197349995,-4.2210866281,-7.4139444570,-7.9148123662,-8.5423584652,-7.4928289976,-7.3271983382,-6.7717083577,-5.0064731963,,,
0.0585937500,3,-3.4707634129,-2.6270203632,-4.2976578878,-6.7424248447,0.0464172690,1.5861232332,-2.8739457468,-5.1444086671,-6.2675835377,-9.7278466297,-7.7720454988,-8.0721143844,-5.7789633459,-3.9106471294,,,
0.0625000000,4,-2.4769883547,-4.8642715583,-4.1096466268,-6.3844455269,1.0058440345,4.1570571658,-0.1743288156,-1.1338194916,-2.8982930794,-8.3770885524,-6.1658543010,-6.5238853125,-3.1450714682,-1.6914414034,,,
0.0664062500,4,-0.9432177423,-5.4760758851,-3.0165414179,-4.5688568666,1.7065868179,6.2262829477,3.4538882482,4.1145135116,1.8024599311,-4.5176009337,-2.6561181948,-2.6275891655,0.8293590990,1.5826425617,,,
0.0703125000,4,0.8376559297,-3.6004263687,-0.8652150726,-1.6661147692,1.9482264612,7.3189824444,7.0100824017,9.5566033897,7.0648949108,0.9100932458,2.0960113887,2.6506627129,5.3410648487,5.3369604407,,,
0.0742187500,4,2.4802196322,0.2247541400,1.9635417012,1.6232071244,1.6262392644,6.9472873499,9.1374596968,13.7350800814,11.7779399202,6.3605600824,6.8636914853,7.5739183074,9.2451282914,8.5016476241,,,
0.0781250000,5,3.6622850209,4.2776378478,4.6529736515,4.5126642580,0.8178137871,4.7920391217,8.6717290127,15.2183988721,14.7023917905,10.3205148041,10.2788770145,10.3783022962,11.4277641384,9.9003969870,,,
0.0820312500,5,4.2743461741,6.6797936071,6.3938507145,6.4351718001,-0.1978853424,0.9969800768,5.2975457657,13.2029027235,14.8686710108,11.9333341991,11.3985351335,10.1349446692,11.2428813093,8.8575178165,,,
0.0859375000,5,4.4404740253,6.5434721194,6.8663446926,7.2312214350,-1.0427594379,-3.6408129879,-0.0798804718,7.9774514881,12.0164740380,11.2698978132,10.1315570064,7.2352379727,8.7990106737,5.6701593466,,,
0.0898437500,5,4.3908239423,4.4536829434,6.4086007433,7.1029109420,-1.4201330398,-7.7845248938,-5.5541564075,0.9727322411,6.8270965847,9.1241326618,7.2780588300,3.2030286389,4.9335856068,1.6091110549,,,
0.0937500000,6,4.2822714528,1.9756849739,5.7407938674,6.3805963329,-1.2562405693,-10.0133998536,-9.0089320699,-5.7080136254,0.7390766297,6.4789949548,4.1158115836,-0.0813033768,0.8533946731,-1.6503347822,,,
0.0976562500,6,4.0892921244,0.5751628887,5.4320682443,5.2850530627,-0.7074531731,-9.4385497131,-9.1116800737,-10.1221656270,-4.6399555266,3.9555086746,1.7317553079,-1.3255810835,-2.3997814571,-2.9090944178,,,
0.1015625000,6,3.6200017581,0.7253024317,5.4730937933,3.8580283006,-0.0311501506,-6.1587860131,-5.9901168522,-11.3050077037,-8.2289512923,1.5579484859,0.4745503914,-0.4312269966,-4.3749712249,-2.1241495785,,,
0.1054687500,6,2.6246920063,1.7669313388,5.2308045212,2.0787300385,0.5809674860,-1.2911362848,-1.2063163270,-9.6465200410,-9.8670022306,-1.1407114812,-0.1507299607,1.5404813473,-5.2875225649,-0.4413283662,,,
0.1093750000,7,0.9285306705,2.4963034955,3.8118746092,0.0261884562,1.0781426131,3.4650066318,3.0034976682,-6.6080323778,-10.1732760917,-4.4967993002,-1.0878835524,2.9827717970,-5.7168436201,0.4813882164,,,
0.1132812500,7,-1.4552996239,1.9796871678,0.6357930216,-2.0629795456,1.4888721944,6.5290818289,4.8547651324,-3.9109727370,-9.9862805534,-8.3099125901,-3.0659075604,2.5967168525,-6.1364540714,-0.5227105651,,,
0.1171875000,7,-4.2475078725,0.0600962825,-4.0794288143,-3.8707441676,1.8067162247,7.0867330475,3.9058310058,-2.6228656142,-9.7546927015,-11.6852564721,-6.0446197493,0.0580250430,-6.5793919626,-3.3928491520,,,
0.1210937500,7,-6.8925136487,-2.6604116806,-9.1931105389,-5.1310887028,1.9459471671,5.3931621088,1.2120457626,-2.6405244843,-9.2658530983,-13.3679708373,-9.1048476029,-3.8236921475,-6.6463915579,-6.8240750637,,,
0.1250000000,8,-8.6810337817,-5.2283428936,-13.0243317805,-5.7380044407,1.7938120291,2.5806303274,-1.3544757245,-2.8759936831,-7.8789980521,-12.3977535079,-10.9018801257,-7.5395562467,-5.8484737980,-9.0126816327,,,
0.1289062500,8,-9.0278387307,-6.8356182451,-14.1360250477,-5.7880031273,1.2788858695,0.0443581612,-2.2243488893,-2.0548314430,-5.1044965224,-8.7343450444,-10.4672014069,-9.6942030721,-4.0541157998,-8.7403852794,,,
0.1328125000,8,-7.7894660903,-7.1387585464,-12.1266909582,-5.5357576534,0.3878509306,-1.2732161947,-1.0198078417,0.3604668465,-1.1226204468,-3.4713569260,-7.8653919691,-9.7378484044,-1.7144557083,-6.1221983211,,,
0.1367187500,8,-5.4011537040,-6.2847781604,-7.9301735569,-5.2545774644,-0.8397193743,-1.2853787729,1.3163122228,3.7301406418,3.1489187119,1.5611246146,-4.2321197131,-8.1666723374,0.3360990297,-2.5178147436,,,
0.1406250000,9,-2.6866065288,-4.7035727236,-3.3630469816,-5.0516328612,-2.2753718513,-0.6240402655,3.1950093596,6.5866925611,6.5128695259,4.6534797618,-1.1056421843,-6.0689252731,1.4025850972,0.3427313402,,,
0.1445312500,9,-0.4190513874,-2.8361302007,-0.1304608414,-4.7543414026,-3.6391048843,-0.1000583229,3.3948417617,7.5424627476,8.1549310028,5.0715074749,0.5311243517,-4.3368487579,1.4085404954,1.4292553864,,,
0.1484375000,9,1.0959081271,-0.9556704405,1.1213309473,-3.9701775155,-4.5043711423,-0.1534727190,1.7660502704,6.1525250178,8.0475629688,3.4148003409,0.8514153821,-3.0855516663,0.9749121156,0.9824018316,,,
0.1523437500,9,2.1338665583,0.8584597104,1.1084577809,-2.3165869877,-4.4398267387,-0.6425698534,-0.7763315397,3.1858965876,6.8517129206,1.2670973206,1.0099015621,-1.6621158830,1.0313046649,0.2663361511,,,
0.1562500000,10,3.2637502130,2.6205911967,1.3516713109,0.2950374217,-3.2487263522,-1.0542196432,-2.8867301233,0.1572138863,5.4413985554,0.3324732093,2.2855672364,0.7717301521,2.2112875991,0.7113546812,,,
0.1601562500,10,4.8339626907,4.2795925214,3.0837687257,3.4821983815,-1.1684575011,-0.9434070080,-3.5913477048,-1.5713613524,4.3991038343,1.5228747278,5.0871901237,4.4732378283,4.4026482601,2.9809896884,,,
0.1640625000,10,6.5957413042,5.5983575012,6.3257450119,6.4479237798,1.1315663182,-0.2860734927,-2.7660712213,-1.5545347459,3.7884131851,4.4728604110,8.4914469922,8.6934487391,6.7182642674,6.4979121913,,,
0.1679687500,10,7.7731061879,6.1775317322,9.7710550686,8.2906385457,2.8290917679,0.4937817101,-1.0705795863,-0.4234733345,3.2860246410,7.7348697756,10.6881604650,11.9260696439,7.9262352028,9.6951363933,,,
0.1718750000,11,7.5771044366,5.6552567460,11.5875962691,8.4263454578,3.3913329498,0.8278881478,0.5270919427,0.6302627790,2.5142975114,9.5545933292,10.1135588833,12.7226809421,7.1267338021,10.8538076436,,,
0.1757812500,11,5.8007690285,3.9790219906,10.5984451879,6.8763686776,2.8975063357,0.4058107822,1.2951410632,0.6668116663,1.3114309917,8.8031969782,6.5326801490,10.5602923350,4.2966795083,9.0466886409,,,
0.1796875000,11,3.0377367821,1.5670343668,7.0387648486,4.2518136679,1.9879380641,-0.6104595332,1.0474680385,-0.4397719450,-0.2197449442,5.5551227473,1.3164151507,6.2002107653,0.3744961523,4.6539342296,,,
0.1835937500,11,0.3552741291,-0.7683798904,2.4201401580,1.4822764098,1.4405077626,-1.6827768731,0.1194362295,-2.0020351135,-1.8251574482,1.0246921419,-3.2820229982,1.3357581324,-3.1654418733,-0.7951884364,,,
0.1875000000,12,-1.3246551599,-2.1276519475,-1.3329529425,-0.5244870942,1.6522258442,-2.2120558191,-0.8828864683,-2.9940789682,-3.2044825912,-3.0537990560,-5.3532932059,-2.2184504221,-4.9986481718,-5.3047540324,,,
0.1914062500,12,-1.6967452711,-1.9391484131,-2.8938342205,-1.1620819914,2.3680677690,-1.8766614201,-1.3779620934,-2.6665446611,-4.0432722068,-5.2535916771,-4.2890943462,-3.3405015912,-4.5459896312,-7.2577585585,,,
0.1953125000,12,-1.1340764811,-0.3036211412,-2.1440416223,-0.3345962393,2.8266838731,-0.8216412445,-1.0273976758,-0.9730601459,-4.0721887760,-5.0947317235,-0.9825966727,-2.0664305214,-2.2339952863,-6.0920341521,,,
0.1992187500,12,-0.4015141427,1.9223451898,-0.1435760593,1.4233883218,2.2398178665,0.3979365001,0.1467106698,1.3761844782,-3.2422451268,-3.2152311693,2.7058673748,0.4397012011,0.6656865007,-2.5770363420,,,
0.2031250000,13,-0.2566363729,3.4274827037,1.4651435164,3.0388320552,0.3302158290,1.1168710618,1.7421988812,3.2448221901,-1.9157087504,-1.0006268212,4.8508092988,2.3956687617,2.5753790789,1.4490514100,,,
0.2070312500,13,-1.1299853026,3.0668492598,1.3268180260,3.3054024092,-2.4002749570,0.9615892547,3.0871226497,3.6290508617,-0.8401699924,0.1454844509,4.2974687949,2.2258106212,2.3504372981,3.8625800418,,,
0.2109375000,13,-2.9602161422,0.5103670540,-0.9021318659,1.4843434208,-4.8646138473,0.1069600659,3.5080727813,2.1752234453,-0.7863980081,-0.4907794740,1.1131500353,-0.6314723701,-0.1064398350,3.2701165832,,,
0.2148437500,13,-5.1989845006,-3.4564499512,-4.3620038822,-2.2241494152,-5.9534948479,-0.8000987696,2.6805979084,-0.5991285537,-2.0135614018,-2.6141462796,-3.4727367399,-5.3377657373,-3.7057146546,-0.2393805724,,,
0.2187500000,14,-6.9868592539,-7.1986684464,-7.4654436490,-6.6418710906,-5.1232249701,-1.0225898901,0.8631885017,-3.4898266145,-3.9295654270,-5.1221545626,-7.5801307039,-9.9445598415,-6.6497974181,-5.0412113960,,,
0.2226562500,14,-7.4767331424,-8.9792795348,-8.7970734077,-10.0737799508,-2.6569958443,-0.1885643289,-1.1762823131,-5.1228379252,-5.2603198664,-6.6871877992,-9.4594619227,-12.2842051186,-7.3274526271,-8.7223425216,,,
