Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,0.0069641266,0.0069804135,0.0069536256,0.0069542687,0.0069669122,0.0069446247,0.0069506253,0.0069189092,0.0069189092,0.0069452679,0.0069671269,0.0069448394,0.0069474111,0.0069362670,,,
0.0039062500,0,0.0613283364,0.0614702854,0.0612347758,0.0612423691,0.0613552283,0.0611651436,0.0612158511,0.0609470083,0.0609470083,0.0611705936,0.0613575474,0.0611614621,0.0611871138,0.0610881032,,,
0.0078125000,0,0.2721696321,0.2727952979,0.2717524439,0.2717971456,0.2723012255,0.2714940683,0.2717114970,0.2705713295,0.2705709010,0.2715156069,0.2723153202,0.2714478114,0.2715784234,0.2711321960,,,
0.0117187500,0,0.8309940380,0.8329035257,0.8297267912,0.8299041952,0.8314364058,0.8291121759,0.8297644091,0.8264543378,0.8264492775,0.8291631115,0.8314985587,0.8288636015,0.8293251787,0.8279297885,,,
0.0156250000,1,2.0006341016,2.0052673642,1.9976306849,1.9981722482,2.0017983714,1.9966017966,1.9981827547,1.9906191047,1.9905901664,1.9966750003,2.0020126835,1.9957093746,1.9969994530,1.9935271540,,,
0.0195312500,1,4.0977083394,4.1073509073,4.0917020352,4.0930740172,4.1002938045,4.0905509454,4.0938949455,4.0791786826,4.0790699017,4.0905950887,4.1008943350,4.0880617988,4.0911192718,4.0837082260,,,
0.0234375000,1,7.4770134654,7.4950036523,7.4663510202,7.4693763817,7.4821024659,7.4660127149,7.4724355250,7.4468844254,7.4465775354,7.4659620875,7.4835154259,7.4601963918,7.4665960483,7.4524209732,,,
0.0273437500,1,12.5177346377,12.5486413706,12.5003375570,12.5063269511,12.5269247876,12.5026995847,12.5141251100,12.4734001599,12.4727001969,12.5026280019,12.5298029999,12.4908014872,12.5029436903,12.4779856375,,,
0.0312500000,2,19.6113221432,19.6610609603,19.5845931012,19.5954640198,19.6269181830,19.5927951111,19.6118238239,19.5511995109,19.5498483865,19.5932286823,19.6321366594,19.5708658412,19.5921387663,19.5509763003,,,
0.0351562500,2,29.1508780504,29.2267498637,29.1115707440,29.1299382625,29.1761436053,29.1302775449,29.1601795411,29.0749685553,29.0726959001,29.1326290834,29.1847703918,29.0931040236,29.1280174562,29.0636512739,,,
0.0390625000,2,41.5219242107,41.6325841792,41.4660214492,41.4952622713,41.5613716635,41.5016551506,41.5463100832,41.4323916043,41.4289970431,41.5086888134,41.5746406255,41.4427841276,41.4970931683,41.4008043206,,,
0.0429687500,2,57.0944581890,57.2498392531,57.0170990230,57.0614100871,57.1541410472,57.0780018281,57.1418411959,56.9962019264,56.9916475202,57.0942449811,57.1734515897,56.9898366799,57.0706769446,56.9319152027,,,
0.0468750000,3,76.2162277244,76.4274479737,76.1116979120,76.1761718308,76.3039881731,76.2081773282,76.2961900999,76.1173905809,76.1118796392,76.2402544614,76.3309548512,76.0821476292,76.1981891200,76.0044925753,,,
0.0507812500,3,99.2071678933,99.4864412228,99.0689426373,99.1596599687,99.3327821061,99.2131472155,99.3309710351,99.1194941355,99.1135340508,99.2700629782,99.3693581977,99.0399724798,99.2015759066,98.9385289603,,,
0.0546875000,3,126.3549432611,126.7154977988,126.1757660059,126.2998767495,126.5301132314,126.3813657838,126.5354167445,126.2939166075,126.2884004020,126.4747711252,126.5788046511,126.1514348406,126.3707719196,126.0220134597,,,
0.0585937500,3,157.9115066613,158.3675083669,157.6835036471,157.8492589816,158.1496816810,157.9651970896,158.1627389482,157.8962456062,157.8926082760,158.1096373553,158.2138429141,157.6690562732,157.9601444818,157.5074407796,,,
0.0625000000,4,194.0905411984,194.6570225924,193.8053905593,194.0220989918,194.4066006139,194.1783038181,194.4273652783,194.1434808843,194.1439636355,194.3914058405,194.4907754546,193.8072051802,194.1858157275,193.6092093881,,,
0.0664062500,4,235.0656394903,235.7584372965,234.7148151442,234.9927285160,235.4754972879,235.1938757411,235.5029834781,235.2120486912,235.2200401944,235.4964201567,235.5857595240,234.7403073122,235.2237328465,234.5017661806,,,
0.0703125000,4,280.9691182669,281.8048221209,280.5442077888,280.8943732812,281.4892995538,281.1435548098,281.5213106766,281.2364802525,281.2568399104,281.5594104746,281.6335701760,280.6016800031,281.2083859770,280.3183793497,,,
0.0742187500,4,331.8914270849,332.8873327843,331.3844909577,331.8186122297,332.5386296664,332.1169388691,332.5715011136,332.3086776218,332.3479309296,332.6728828110,332.7269751084,331.4829152774,332.2321277558,331.1504833230,,,
0.0781250000,5,387.8811234373,389.0551722303,387.2850394726,387.8153636141,388.6717458085,388.1615675355,388.7001099476,388.4777206467,388.5440684816,388.8870374632,388.9166654104,387.4337787821,388.3450643532,387.0475707484,,,
0.0820312500,5,448.9453459712,450.3160222450,448.2540842918,448.8932866669,449.8949604486,449.2833022006,449.9115389816,449.7501642137,449.8533349996,450.2101143342,450.2116436004,448.4625842684,449.5554521931,448.0175812955,,,
0.0859375000,5,515.0506830003,516.6368395436,514.2594843184,515.0204943162,516.1734601371,515.4470400665,516.1689049621,516.0907702494,516.2418060452,516.6090735081,516.5799592406,514.5369795917,515.8304991251,514.0277018165,,,
0.0898437500,5,586.1243549544,587.9449387011,585.2298171869,586.1255428510,587.4324795332,586.5777622593,587.3952956687,587.4236417171,587.6347027263,588.0105896159,587.9497364208,585.5850792498,587.0974817792,585.0055003461,,,
