Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,,,
0.0039062500,0,-0.7362039464,-2.2655581982,-0.3397366524,-0.7362039464,-0.3964672826,0.1132455661,0.6796890449,-0.0565149129,1.3593780784,-2.5485642318,-0.2832217280,-0.6231740976,0.2264911207,-0.7929345766,,,
0.0078125000,0,-0.4698136147,-0.0730398656,1.2207961228,0.2096597130,1.9341108227,-0.0671234892,0.2200896664,0.0334978017,1.7995574103,-0.7547446085,0.7908310165,0.4828321640,0.1489747715,0.6399683793,,,
0.0117187500,0,0.5041488085,2.8248226295,1.8201216817,1.6872771126,1.8026690724,0.1924671197,-0.5174763948,0.7814948481,0.4813828829,3.7248732644,1.4435991298,1.7348058692,0.2735765310,1.9505991216,,,
0.0156250000,1,1.4123727519,3.7083313156,0.8289539722,2.0799575192,-0.7992195008,0.7462883875,-0.6303570707,1.2305617039,-2.0840822543,6.1659137761,1.0615032578,1.7838116805,0.5522012298,1.6879605938,,,
0.0195312500,1,1.7773354840,2.0720717879,-0.3621386537,1.2603977775,-2.4866898834,1.3006630271,-0.0679124159,0.8703220910,-3.4986612073,3.5196626386,-0.0110166893,0.7669726220,0.9682357291,0.2847297055,,,
0.0234375000,1,1.6798885589,-0.5502949222,-1.0915676461,-0.2179652883,-1.7066188433,0.6759092834,0.7258892288,-0.6596912147,-2.7329710348,-2.7492922472,-0.8992057121,-0.8176917560,0.8349868950,-1.3759729327,,,
0.0273437500,1,0.7567351055,-2.9203918934,-1.8985567473,-2.1437912073,-0.1063595036,-1.4770623445,0.5288622776,-2.9742816963,-0.9231523493,-8.6348189201,-1.9985001095,-2.6911218718,-0.8147429316,-2.8097437893,,,
0.0312500000,2,-1.4098378155,-3.8455136121,-2.9883312199,-3.7297573591,0.5019382560,-3.7741645906,-0.7985168847,-4.2607094979,0.2338114604,-8.9584274775,-2.7247458487,-3.8213313700,-2.8260980643,-3.2896268995,,,
0.0351562500,2,-3.4775582452,-3.0447475757,-2.9563563222,-3.4665612908,0.0840667401,-3.5650185436,-2.0890204828,-2.6684287809,0.5682254354,-2.9929161557,-2.2265667499,-2.8878983058,-3.5231731131,-1.9535364408,,,
0.0390625000,2,-4.3560416715,-1.5606860283,-1.3696637344,-1.7275566313,-0.4327394659,-0.7406525004,-2.1308437456,0.6903451712,0.6217050268,4.7276175750,-1.0087525814,-0.4851653157,-2.4261429148,0.1398149651,,,
0.0429687500,2,-3.5182907286,-0.7765024186,0.2652834049,-0.0894626142,-1.4088312148,1.9452371794,-0.7478388622,3.0229756912,0.9232627825,7.5090303506,-0.4605751006,1.2515749377,-0.8521943796,0.9157850197,,,
0.0468750000,3,-2.3257236580,-1.9817175094,-0.9599048883,-0.3575337913,-4.6928337945,0.7400261373,-0.1095361335,0.2156100051,-1.5686558051,1.9910960564,-2.8201696215,0.2869329259,-1.0003193622,-2.0535905047,,,
