Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4192.1796875000,4174.2309570313,4173.9741210938,4174.8715820313,4171.0258789063,4165.1284179688,4163.8461914063,4162.9487304688,4183.4614257813,4190.3847656250,4165.7690429688,4173.8461914063,4185.5126953125,4185.8974609375,,,
0.0039062500,0,4191.6665039063,4176.9228515625,4175.2563476563,4172.6923828125,4171.9228515625,4167.3076171875,4164.4873046875,4166.0258789063,4186.0258789063,4186.5385742188,4167.4360351563,4173.9741210938,4187.4360351563,4189.3588867188,,,
0.0078125000,0,4193.9741210938,4180.1284179688,4179.2309570313,4172.0512695313,4173.9741210938,4171.5385742188,4166.9228515625,4170.8974609375,4189.6152343750,4186.0258789063,4170.2563476563,4175.2563476563,4190.5126953125,4193.9741210938,,,
0.0117187500,0,4197.6923828125,4181.7949218750,4183.9741210938,4174.1025390625,4176.5385742188,4176.0258789063,4170.5126953125,4177.0512695313,4194.7436523438,4188.7177734375,4174.1025390625,4177.9487304688,4194.8715820313,4198.5898437500,,,
0.0156250000,1,4201.2822265625,4181.5385742188,4188.5898437500,4178.9741210938,4178.9741210938,4179.1025390625,4173.8461914063,4183.9741210938,4201.9228515625,4194.3588867188,4179.6152343750,4182.4360351563,4200.3847656250,4202.9487304688,,,
0.0195312500,1,4204.6152343750,4180.7690429688,4192.5639648438,4185.2563476563,4180.5126953125,4180.0000000000,4176.6665039063,4190.6411132813,4209.3588867188,4201.4101562500,4186.7949218750,4188.8461914063,4206.4101562500,4207.1796875000,,,
0.0234375000,1,4207.8203125000,4182.0512695313,4196.5385742188,4191.0258789063,4180.8974609375,4178.7177734375,4179.1025390625,4195.1284179688,4214.8715820313,4208.3334960938,4194.7436523438,4196.0258789063,4211.6665039063,4210.8974609375,,,
0.0273437500,1,4210.6411132813,4187.1796875000,4201.2822265625,4195.6411132813,4181.0258789063,4176.4101562500,4181.1538085938,4197.3076171875,4217.0512695313,4213.7177734375,4201.4101562500,4202.4360351563,4215.0000000000,4214.2309570313,,,
0.0312500000,2,4213.2050781250,4195.6411132813,4207.3076171875,4200.0000000000,4182.0512695313,4175.0000000000,4181.5385742188,4197.5639648438,4217.0512695313,4217.9487304688,4206.2822265625,4207.3076171875,4216.5385742188,4216.5385742188,,,
0.0351562500,2,4215.0000000000,4203.7177734375,4213.3334960938,4204.3588867188,4183.8461914063,4174.1025390625,4179.2309570313,4195.7690429688,4215.5126953125,4219.8715820313,4208.8461914063,4209.1025390625,4215.8974609375,4216.9228515625,,,
0.0390625000,2,4215.5126953125,4206.1538085938,4216.5385742188,4207.1796875000,4185.0000000000,4171.9228515625,4174.6152343750,4190.3847656250,4211.1538085938,4217.9487304688,4207.9487304688,4206.6665039063,4212.0512695313,4213.4614257813,,,
0.0429687500,2,4214.2309570313,4201.5385742188,4214.7436523438,4207.1796875000,4185.0000000000,4168.2050781250,4169.3588867188,4180.8974609375,4202.6923828125,4211.5385742188,4203.3334960938,4200.5126953125,4205.0000000000,4206.4101562500,,,
0.0468750000,3,4211.2822265625,4193.8461914063,4209.7436523438,4204.6152343750,4185.3847656250,4165.1284179688,4165.3847656250,4170.5126953125,4191.2822265625,4203.4614257813,4196.7949218750,4193.9741210938,4196.7949218750,4198.4614257813,,,
0.0507812500,3,4208.4614257813,4189.1025390625,4205.1284179688,4201.5385742188,4187.5639648438,4166.1538085938,4164.8715820313,4163.4614257813,4180.3847656250,4197.0512695313,4191.0258789063,4190.2563476563,4190.0000000000,4193.2050781250,,,
0.0546875000,3,4206.0258789063,4189.8715820313,4202.5639648438,4199.2309570313,4190.7690429688,4171.5385742188,4168.5898437500,4161.4101562500,4172.6923828125,4192.9487304688,4186.9228515625,4190.1284179688,4185.3847656250,4191.2822265625,,,
0.0585937500,3,4203.0771484375,4193.4614257813,4200.3847656250,4196.9228515625,4192.8203125000,4178.5898437500,4175.1284179688,4162.6923828125,4168.3334960938,4188.5898437500,4183.5898437500,4190.7690429688,4182.1796875000,4190.6411132813,,,
0.0625000000,4,4198.0771484375,4195.2563476563,4196.0258789063,4193.3334960938,4192.9487304688,4184.1025390625,4180.7690429688,4164.6152343750,4166.1538085938,4182.3076171875,4179.4873046875,4188.8461914063,4178.8461914063,4188.8461914063,,,
0.0664062500,4,4191.4101562500,4192.0512695313,4188.0771484375,4187.9487304688,4192.0512695313,4186.5385742188,4182.3076171875,4165.3847656250,4164.7436523438,4174.8715820313,4173.7177734375,4183.2050781250,4175.1284179688,4184.2309570313,,,
0.0703125000,4,4185.0000000000,4184.3588867188,4177.6923828125,4181.7949218750,4191.4101562500,4186.0258789063,4179.2309570313,4164.3588867188,4162.6923828125,4168.3334960938,4166.2822265625,4174.7436523438,4170.7690429688,4176.6665039063,,,
0.0742187500,4,4180.1284179688,4175.6411132813,4167.0512695313,4176.5385742188,4191.1538085938,4182.8203125000,4173.8461914063,4161.2822265625,4159.6152343750,4163.7177734375,4157.8203125000,4165.3847656250,4166.2822265625,4167.6923828125,,,
0.0781250000,5,4176.6665039063,4169.8715820313,4158.8461914063,4172.9487304688,4190.7690429688,4178.8461914063,4168.9741210938,4157.0512695313,4156.7949218750,4161.7949218750,4150.5126953125,4157.0512695313,4162.5639648438,4160.0000000000,,,
0.0820312500,5,4174.4873046875,4168.8461914063,4154.6152343750,4170.7690429688,4189.8715820313,4176.0258789063,4166.5385742188,4154.2309570313,4156.7949218750,4163.0771484375,4146.7949218750,4151.6665039063,4161.1538085938,4157.0512695313,,,
0.0859375000,5,4173.7177734375,4170.3847656250,4154.1025390625,4168.8461914063,4187.9487304688,4175.3847656250,4167.3076171875,4154.4873046875,4160.6411132813,4167.0512695313,4146.9228515625,4149.6152343750,4162.3076171875,4159.3588867188,,,
0.0898437500,5,4174.6152343750,4171.1538085938,4156.0258789063,4166.4101562500,4185.5126953125,4176.4101562500,4170.3847656250,4157.6923828125,4166.7949218750,4171.9228515625,4149.4873046875,4150.1284179688,4164.7436523438,4164.4873046875,,,
0.0937500000,6,4177.3076171875,4170.2563476563,4159.4873046875,4164.1025390625,4183.0771484375,4178.2050781250,4173.5898437500,4161.6665039063,4172.4360351563,4175.2563476563,4152.5639648438,4152.4360351563,4166.5385742188,4169.2309570313,,,
0.0976562500,6,4181.1538085938,4169.4873046875,4163.4614257813,4163.5898437500,4182.1796875000,4179.8715820313,4174.2309570313,4164.2309570313,4176.2822265625,4176.2822265625,4155.1284179688,4155.8974609375,4167.5639648438,4171.9228515625,,,
0.1015625000,6,4184.7436523438,4170.7690429688,4166.2822265625,4165.1284179688,4182.8203125000,4180.8974609375,4171.4101562500,4164.3588867188,4178.2050781250,4176.0258789063,4156.5385742188,4159.3588867188,4168.4614257813,4172.6923828125,,,
0.1054687500,6,4187.0512695313,4173.8461914063,4167.1796875000,4167.8203125000,4183.7177734375,4180.1284179688,4166.9228515625,4161.9228515625,4179.3588867188,4176.1538085938,4156.9228515625,4162.3076171875,4170.1284179688,4172.9487304688,,,
0.1093750000,7,4188.3334960938,4177.1796875000,4167.0512695313,4171.1538085938,4184.2309570313,4178.0771484375,4163.5898437500,4159.1025390625,4181.0258789063,4178.2050781250,4158.2050781250,4165.7690429688,4173.7177734375,4175.1284179688,,,
0.1132812500,7,4190.5126953125,4180.0000000000,4169.4873046875,4175.6411132813,4185.1284179688,4176.5385742188,4163.7177734375,4158.9741210938,4184.8715820313,4183.4614257813,4163.2050781250,4171.6665039063,4179.8715820313,4181.4101562500,,,
0.1171875000,7,4194.8715820313,4182.5639648438,4176.5385742188,4181.2822265625,4187.6923828125,4177.4360351563,4167.1796875000,4163.2050781250,4191.1538085938,4192.1796875000,4172.4360351563,4180.7690429688,4187.6923828125,4191.1538085938,,,
0.1210937500,7,4200.6411132813,4184.6152343750,4186.5385742188,4186.9228515625,4191.1538085938,4179.6152343750,4171.5385742188,4170.2563476563,4197.5639648438,4201.5385742188,4182.3076171875,4190.2563476563,4194.3588867188,4200.6411132813,,,
