Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,-0.0000026291,0.0000137911,0.0000065691,-0.0000111645,0.0000045954,0.0000111645,0.0000032846,0.0000157649,0.0000131382,-0.0000197048,0.0000085403,0.0000006554,0.0000098537,0.0000177336,,,
0.0078125000,0,-0.0000110047,0.0001361617,0.0000773978,-0.0001002181,0.0000504076,0.0001186097,0.0000409954,0.0001618336,0.0001324592,-0.0001737102,0.0000885990,0.0000122596,0.0001013150,0.0001776135,,,
0.0117187500,0,0.0000222676,0.0006726708,0.0004495229,-0.0004402208,0.0002781667,0.0006334001,0.0002509413,0.0008444084,0.0006827870,-0.0007542005,0.0004681300,0.0000956147,0.0005318257,0.0008995782,,,
0.0156250000,1,0.0003344334,0.0022488740,0.0017453833,-0.0012668419,0.0010421169,0.0022939264,0.0010189814,0.0030305850,0.0024416986,-0.0021724727,0.0017087017,0.0004650765,0.0019292570,0.0031213472,,,
0.0195312500,1,0.0015369323,0.0057956066,0.0051727060,-0.0026678162,0.0030096812,0.0063986717,0.0031312077,0.0085052523,0.0068886658,-0.0046832080,0.0049082162,0.0016675829,0.0054960262,0.0084517460,,,
0.0234375000,1,0.0047535944,0.0124109955,0.0126278308,-0.0042532437,0.0071922245,0.0147619445,0.0078612385,0.0200215921,0.0164158668,-0.0079763473,0.0119156103,0.0048206432,0.0131782313,0.0192049274,,,
0.0273437500,1,0.0116627628,0.0232199745,0.0266772842,-0.0048428888,0.0148732040,0.0294649776,0.0169547041,0.0412555748,0.0343832527,-0.0107969617,0.0255090260,0.0118501401,0.0277278642,0.0383119704,,,
0.0312500000,2,0.0244405571,0.0393793113,0.0504558513,-0.0022980426,0.0274537027,0.0524690150,0.0325108187,0.0765096074,0.0649057530,-0.0107363147,0.0494458482,0.0256296742,0.0525856172,0.0691190739,,,
0.0351562500,2,0.0456152327,0.0622762871,0.0875316091,0.0064598057,0.0462823614,0.0852163924,0.0567539884,0.1301855091,0.1123605485,-0.0042702244,0.0882948278,0.0499215323,0.0915531714,0.1150790318,,,
0.0390625000,2,0.0778396686,0.0937857642,0.1417352366,0.0252717323,0.0725256694,0.1283196136,0.0916726660,0.2060950514,0.1807029179,0.0129375418,0.1470127627,0.0890509350,0.1482741971,0.1793254415,,,
